city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tunis,36.8064,10.1817,Tunisia,TN,Tunis,primary,602560,602560
Sidi Bouzid,35.0381,9.4858,Tunisia,TN,Sidi Bouzid,admin,429912,429912
Sfax,34.7400,10.7600,Tunisia,TN,Sfax,admin,265131,265131
Sousse,35.8333,10.6333,Tunisia,TN,Sousse,admin,221530,221530
Kairouan,35.6772,10.1008,Tunisia,TN,Kairouan,admin,186653,186653
Métouia,33.9667,10.0000,Tunisia,TN,Gabès,,170000,170000
Kebili,33.7050,8.9650,Tunisia,TN,Kébili,admin,163257,163257
Sukrah,36.8833,10.2500,Tunisia,TN,L’Ariana,,129693,129693
Gabès,33.8833,10.1167,Tunisia,TN,Gabès,admin,116323,116323
Ariana,36.8625,10.1956,Tunisia,TN,L’Ariana,admin,114486,114486
Sakiet ed Daier,34.8000,10.7800,Tunisia,TN,Sfax,,113776,113776
Gafsa,34.4225,8.7842,Tunisia,TN,Gafsa,admin,111170,111170
Msaken,35.7333,10.5833,Tunisia,TN,Sousse,,110000,110000
Medenine,33.3547,10.5053,Tunisia,TN,Médenine,admin,109409,109409
Béja,36.7333,9.1833,Tunisia,TN,Béja,admin,109299,109299
Kasserine,35.1667,8.8333,Tunisia,TN,Kasserine,admin,108794,108794
Radès,36.7667,10.2833,Tunisia,TN,Ben Arous,,97588,97588
Hammamet,36.4000,10.6167,Tunisia,TN,Nabeul,,97579,97579
Tataouine,32.9306,10.4500,Tunisia,TN,Tataouine,admin,95775,95775
Monastir,35.7694,10.8194,Tunisia,TN,Monastir,admin,93306,93306
La Marsa,36.8764,10.3253,Tunisia,TN,Tunis,,92987,92987
Ben Arous,36.7472,10.3333,Tunisia,TN,Ben Arous,admin,88322,88322
Sakiet ez Zit,34.8000,10.7700,Tunisia,TN,Sfax,,87512,87512
Zarzis,33.5000,11.1167,Tunisia,TN,Médenine,,80000,80000
Ben Gardane,33.1389,11.2167,Tunisia,TN,Médenine,,79912,79912
Mahdia,35.5000,11.0667,Tunisia,TN,Mahdia,admin,79545,79545
Houmt Souk,33.8667,10.8500,Tunisia,TN,Médenine,,75904,75904
Fouchana,36.7000,10.1667,Tunisia,TN,Ben Arous,,74868,74868
Le Kram,36.8333,10.3167,Tunisia,TN,Tunis,,74132,74132
El Kef,36.1822,8.7147,Tunisia,TN,Kef,admin,73706,73706
El Hamma,33.8864,9.7951,Tunisia,TN,Gabès,,73512,73512
